top1,top2,top3,label
0.1574194887798711,0.16337895191934595,0.39404243953102863,1
0.08230279134573863,0.0915580445974609,0.09729848632909241,1
0.09077249752152276,0.17539384046246534,0.22967412633493514,1
0.24448482283442782,0.39580096947856147,0.614599098253999,1
0.14289011699678464,0.17430244008550716,0.18342177275823918,1
0.11442848523830476,0.14062668444897825,0.21520653031311757,1
0.060796265877952574,0.28689137033399353,0.7483128522360276,1
0.08534730072482985,0.10147059131592244,0.41978959062503796,1
0.10219500815505395,0.13491674215873142,0.18200569592137578,1
0.11045337833998481,0.4050845725708588,0.7694428828324117,1
0.03789551274424079,0.06994340513739183,0.575412897754491,1
0.0743634446529643,0.41030238731516877,0.597821093386596,1
0.1747042735621005,0.2554804933059641,0.45029727257625457,1
0.017713200537993294,0.03428315559732826,0.0634943484989993,1
0.06508050294348482,0.12863729016394165,0.27409562179695196,1
0.1917544829389524,0.2086126696025926,0.23148158860694185,1
0.2756365704056125,0.2757474610707422,0.37734664268505513,1
0.04801682661655311,0.13876534230461457,0.5609952706477566,1
0.10928551442551149,0.11071233599093677,0.13527614070910435,1
0.054358087899028684,0.3123360295058644,0.690105729266094,1
0.23689765883623448,0.4189144611818306,0.589868445062054,1
0.05733682082036424,0.0695032645510458,0.1677373051509023,1
0.030895107889720372,0.034895396009480745,0.06261942453855067,1
0.07360418099046873,0.12161641451228869,0.2773033662077923,1
0.11007642223544681,0.12764349760777763,0.19700221931186565,1
0.05282423327784862,0.0864428063958944,0.11113187713988153,1
0.18943408450460328,0.32150245593759075,0.5769742164113577,1
0.10591896287557119,0.1568073452130372,0.9227164521146152,1
0.16617610882498154,0.2616562934125011,0.2792508396300585,1
0.01432892817321038,0.11075026471463778,0.8447758674414909,1
0.0737116540010047,0.09405024200226939,0.20712803440054783,1
0.10209431945226707,0.14427104887125483,0.8756705076400774,1
0.1349621309623184,0.1526822748567022,0.3798417042569045,1
0.3125690936099412,0.3156302548948109,0.41608857370997143,1
0.211130122244872,0.2635433958292612,0.2870006798095,1
0.06329941593744452,0.09805047514111968,0.5621339222746966,1
0.2832044078948415,0.44942396408660507,0.7470359639942635,1
0.12639023618921857,0.13865644678134312,0.24111743665473648,1
0.20010277289943124,0.3142534575690388,0.43377931612702797,1
0.10953252720058076,0.3247198081656028,0.3412348456110136,1
0.040392813300537615,0.09200025574821913,0.7603736281152946,1
0.2817761108421549,0.6308873442416437,0.8278185838498675,1
0.051045151976660263,0.19581969614014072,0.5842628314644047,1
0.2463524087513279,0.4788884458151054,0.6190982489196486,1
0.03743819163293787,0.06931258900626484,0.3866217646173952,1
0.08248735223938751,0.23187167626983812,0.24919391988770292,1
0.11722322382459635,0.1505815423645629,0.15160045789364712,1
0.1476565195841807,0.14806189830788122,0.30742359792877855,1
0.15871655215467295,0.30806900879835336,0.5066122502897031,1
0.07537040903503421,0.1774613724025663,0.21290820221985635,1
0.22808754075527424,0.46727753269211997,0.854343641651404,1
0.12658668878036944,0.15982232658252396,0.46858245853541675,1
0.1599259128319386,0.20780769331143012,0.26080542507922955,1
0.12748806638440793,0.2458269247850185,0.2841270540955509,1
0.16118474951845502,0.16174550157281076,0.22068951103963286,1
0.04700332518729486,0.10503938046533023,0.5619471590137322,1
0.04513927237769788,0.07570550164088016,0.16465807897073692,1
0.07990531455194651,0.19089499778059582,0.7704983343544862,1
0.1562308365086802,0.5416231909240805,0.6642177558633081,1
0.2974827720993992,0.3088057919857546,0.31487591995523284,1
0.11212921339080419,0.1122262710059381,0.5605470727464547,1
0.015084545953070735,0.07964304071030333,0.4786032719358851,1
0.2978513489887536,0.6302229372848422,0.6567010325270914,1
0.11297902773113047,0.13064351805533442,0.7192667168063547,1
0.11475817490538098,0.1749557648626973,0.23190399792769892,1
0.08504823184077602,0.09643115973070948,0.42837177882412114,1
0.10700250187380803,0.11325394698501483,0.16946950750835016,1
0.054410987243879244,0.06445600155044391,0.09528856551624008,1
0.20228481155347341,0.3203601857888468,0.3227516292238923,1
0.3151157529597154,0.4456548027120336,0.506997323234343,1
0.048285763338126696,0.05830001638534945,0.14765615300933616,1
0.07649090451776291,0.08742036625305416,0.12985078370122757,1
0.038896398211716206,0.23423832790490923,0.28554909464755224,1
0.03094499414271995,0.42308339048157523,0.6515419057212004,1
0.20257577507979926,0.37884913002167003,0.4597322157849014,1
0.09707825863510094,0.10618749331532236,0.9964244245793781,1
0.22061763551660088,0.28747990989558936,0.4452523608856588,1
0.042049356026810765,0.06818156842864853,0.3803710886355372,1
0.06577567921746495,0.07747253400668194,0.8741061949577495,1
0.26519271106400105,0.34050713332418026,0.3811804683258356,1
0.11233129748264903,0.38345771821199204,0.7964598999660488,1
0.03832679108720389,0.04791134790665845,0.14040734477026798,1
0.11199777797327189,0.6028414719457025,0.9208403595765645,1
0.07066608121453445,0.12330366616050295,0.39571208319069134,1
0.06726420887493832,0.11590718595652473,0.19851184696299237,1
0.13024377414167454,0.3019036672940704,0.8025467704354509,1
0.09330492916879586,0.457737931628836,0.5856001737338439,1
