epoch,training_loss
1,1.7336031607652114
2,0.6991646052417109
3,0.43768555153224425
4,0.3306552916765213
5,0.2674894731933788
6,0.22669988011909745
7,0.19536167168516225
8,0.17107124607694352
9,0.15237095478480145
10,0.13591645995817953
11,0.12330653928851677
12,0.1126803884251138
13,0.10286486606602951
14,0.09479775257661181
15,0.08915792882316194
16,0.08216708196106098
17,0.07772603141680612
18,0.0728833022195909
19,0.06714723495987512
20,0.0630572308012742
21,0.059463714375713114
22,0.055863706426600275
23,0.052924576207553434
24,0.05075882353930403
25,0.04710791998353424
26,0.045075532830304514
27,0.04265704567117964
28,0.040445889527830535
29,0.03859937981844454
30,0.03658336338634461
